player,shots,goals,xg_total,goals_minus_xg,std_error,z_score,p_value,ci_low,ci_high,significant,p_value_fdr_bh,significant_fdr
Hirving Rodrigo Lozano Bahena,18,1,1.0161351119826976,-0.01613511198269757,0.9603895052172309,-0.0168005917339215,0.986595697828911,-1.8984639533387124,1.8661937293733173,False,0.9991768646091868,False
Marco Asensio Willemsen,13,1,1.0189360962226655,-0.018936096222665455,0.9472676741366125,-0.01999022740845112,0.9840511684075497,-1.87554662124945,1.8376744288041191,False,0.9991768646091868,False
Tomáš Souček,13,1,1.0380006504859294,-0.03800065048592938,0.9596531327051305,-0.039598318591229684,0.9684133679590574,-1.9188862282390222,1.8428849272671635,False,0.9991768646091868,False
Dan Ndoye,14,1,1.1120634852266589,-0.11206348522665888,0.9867512040249379,-0.11356812615941508,0.9095801554741179,-2.046060306817072,1.8219333363637542,False,0.9991768646091868,False
Daniel Olmo Carvajal,51,4,4.125569296244562,-0.1255692962445618,1.8871151969276985,-0.06654034499271365,0.9469476382064532,-3.8242471169010623,3.5731085244119387,False,0.9991768646091868,False
Robert Lewandowski,35,4,4.127642938878087,-0.1276429388780871,1.7586549607815118,-0.07257986456954868,0.9421404501990411,-3.5745433232425516,3.3192574454863775,False,0.9991768646091868,False
Romelu Lukaku Menama,42,7,7.1419227578181665,-0.14192275781816655,2.295283701763971,-0.0618323380718018,0.9506963506919011,-4.640596147577324,4.356750631940991,False,0.9991768646091868,False
Jesse Lingard,16,1,1.1890030688085793,-0.1890030688085793,1.0290776253966278,-0.18366259662455844,0.8542781532636963,-2.2059581518819713,1.8279520142648127,False,0.9991768646091868,False
Adrien Rabiot,15,1,1.2552073183561072,-0.2552073183561072,1.0441475252732724,-0.2444169163637244,0.8069079416446616,-2.301698862438347,1.7912842257261326,False,0.9733659459549435,False
Serge Gnabry,16,1,1.2956575247062814,-0.29565752470628137,1.067023449141857,-0.2770862486143683,0.7817138806051487,-2.3869850556840273,1.7956700062714646,False,0.9733659459549435,False
Christian Dannemann Eriksen,29,2,2.3337129548866202,-0.33371295488662023,1.4092514830962315,-0.23680156373043354,0.8128107383747467,-3.0957951069148906,2.42836919714165,False,0.9733659459549435,False
Kieffer Roberto Francisco Moore,12,1,1.3645860288539182,-0.3645860288539182,1.0541024794831155,-0.34587341928338394,0.7294378455315191,-2.430588924655196,1.7014168669473595,False,0.9709412939091973,False
Marcel Sabitzer,23,1,1.3666339871083826,-0.3666339871083826,1.1079817731051897,-0.33090254371321237,0.7407181005080474,-2.5382383579213847,1.8049703837046194,False,0.9709412939091973,False
Ivan Rakitić,15,1,1.425756758090203,-0.4257567580902031,0.9687333167262813,-0.4394984158581407,0.6603004296250192,-2.3244391694977473,1.4729256533173414,False,0.9559573384123412,False
Lamine Yamal Nasraoui Ebana,18,1,1.471732148120941,-0.4717321481209411,1.123080639675638,-0.42003408433537254,0.6744605544038607,-2.6729297536193974,1.7294654573775152,False,0.9620981437819777,False
