player,shots,goals,xg_total,goals_minus_xg,u_hat,u_se,u_ci_low,u_ci_high,odds_multiplier,shrunk_goals_minus_xg,prob_better_than_xg
Andrej Kramarić,29,4,2.7817264833050914,1.2182735166949086,0.10924645177795242,0.298316848340859,-0.47544382695162857,0.6939367305075335,1.1154372179548098,0.25881519268902187,0.642895607937272
Wahbi Khazri,17,3,1.8865776447196636,1.1134223552803364,0.1090469584593671,0.3122938884663673,-0.5030378155266814,0.7211317324454155,1.1152147178769038,0.15571608383071278,0.6365231244886869
Lionel Andrés Messi Cuccittini,44,4,2.795156131830974,1.2048438681690259,0.10593845304665955,0.295103803723758,-0.47245437395268325,0.6843312800460024,1.1117534493631374,0.27443808424005534,0.640197623007821
Lorenzo Insigne,19,2,0.9856900158057528,1.0143099841942473,0.1041712893523616,0.319769183882596,-0.5225647944232925,0.7309073731280158,1.1097905339376768,0.09942433743020163,0.6277009083318874
Breel-Donald Embolo,29,5,3.8144703445547474,1.1855296554452526,0.10138787495387537,0.2914644988735358,-0.46987204561026996,0.6726477955180207,1.1067058219935713,0.2950893803186627,0.6360260925388093
Thomas Meunier,13,2,1.0362095010241823,0.9637904989758177,0.09940257580258466,0.3206118278639144,-0.5289850598282428,0.7277902114334123,1.1045108594140496,0.09078613838326932,0.6217348312198736
Nicholas Williams Arthuer,12,2,1.0478984906860198,0.9521015093139802,0.09821480148619709,0.3206630468847787,-0.5302732215808479,0.7267028245532421,1.1031997286009652,0.08952879145537396,0.6203067879767875
Marcus Rashford,16,3,2.0010252824444628,0.9989747175555372,0.09659726740457934,0.3103424242748252,-0.5116627070489271,0.7048572418580857,1.1014167078782757,0.1506080129240317,0.6221986167444882
Joakim Mæhle,13,2,1.0622084468837107,0.9377915531162893,0.09635209188906124,0.3199804104450544,-0.5307979883415894,0.7235021721197119,1.1011467005700644,0.09157810550483214,0.6183380170095276
Kevin De Bruyne,35,3,1.9879464469091679,1.0120535530908321,0.0946275381203583,0.3046782033949939,-0.502530767408199,0.6917858436489156,1.0992493503891443,0.180986020441821,0.6219407590909994
Federico Chiesa,24,2,1.1195584071663267,0.8804415928336733,0.08907306480061038,0.31736311486150226,-0.5329472103493824,0.7110933399506032,1.0931605249642933,0.09815629132689296,0.6105167403186803
Jamal Musiala,21,3,2.157835750002243,0.8421642499977571,0.07941561402899065,0.30639458621082166,-0.5211067400022724,0.6799379680602538,1.0826541948490447,0.14469563022944643,0.6022571892087134
Niclas Füllkrug,17,4,3.1597889213309887,0.8402110786690113,0.07739651860726217,0.302982239201329,-0.5164377581826424,0.6712307953971667,1.0804704180896303,0.16047518960098062,0.6008118463294289
Denzel Dumfries,12,3,2.2953480169852516,0.7046519830147484,0.06896940508684102,0.3126034011054646,-0.5437220025245981,0.6816608126982802,1.0714034291520251,0.09892732344591204,0.5873093771488749
Fabián Ruiz Peña,18,2,1.3805453226469888,0.6194546773530112,0.06207883344660548,0.3161444326395778,-0.5575528684398162,0.6817105353330272,1.0640462238529238,0.07424654907454875,0.5778366810615467
Heung-Min Son,23,2,1.4240407211484438,0.5759592788515562,0.05725797522651943,0.3148508247002548,-0.5598383016887141,0.6743542521417529,1.0589289525984389,0.07309039796133088,0.5721527100822372
Ciro Immobile,18,2,1.4771329703056695,0.5228670296943305,0.05194441829957323,0.31481096609965514,-0.5650737371940108,0.6689625737931572,1.0533171957254877,0.0666645287246157,0.565528770155469
Mikel Oyarzabal Ugarte,15,2,1.481206209261591,0.518793790738409,0.05186582975850039,0.3158654427877333,-0.5672190620662538,0.6709507215832546,1.0532344203164306,0.06328149460991916,0.5652140516892685
Luis Alberto Suárez Díaz,16,2,1.602233481584217,0.39776651841578303,0.03923294025240206,0.313778485726357,-0.5757615908947731,0.6542274713995773,1.040012716260827,0.0532027317867918,0.5497516341697143
Bruno Miguel Borges Fernandes,24,2,1.6153513660738597,0.38464863392614035,0.03895589999447353,0.31804015556529286,-0.5843913505510164,0.6623031505399636,1.039724630777146,0.042517956814467794,0.5487434732650045
Raheem Sterling,26,4,3.593855923385256,0.40614407661474416,0.03559598609202062,0.29573812954843276,-0.5440400966781483,0.6152320688621896,1.0362371077049957,0.0935218852175903,0.5479022771497786
Edinson Roberto Cavani Gómez,19,3,2.6331240851010422,0.36687591489895777,0.034294336490964354,0.3054924278921635,-0.5644598197273756,0.6330484927093043,1.034889167550351,0.06568547734229302,0.5446910557353684
Carlos Henrique Casimiro,13,1,0.6872698508823861,0.3127301491176139,0.0332215205067099,0.32578151140330064,-0.6052985086727842,0.671741549686204,1.0337795172411934,0.020961731310492948,0.5406116807983607
Aurélien Djani Tchouaméni,18,1,0.7075718630297252,0.2924281369702748,0.030932129270089485,0.3250772267443677,-0.606207527343032,0.6680717858832109,1.031415498588164,0.020766326225745035,0.5379034177606387
Andriy Yarmolenko,14,2,1.6900830925585333,0.3099169074414667,0.03050016609934576,0.31350638267240466,-0.5839610528619994,0.644961385060691,1.0309700612922192,0.04204881862647358,0.5387508497147536
Philippe Coutinho Correia,23,2,1.7039258963130617,0.2960741036869383,0.02878365371997425,0.31154997390423766,-0.5818430745167252,0.6394103819566738,1.0292019063832878,0.04328130623238757,0.5368053361595521
Granit Xhaka,18,1,0.8602483908443088,0.13975160915569118,0.01458189294477651,0.32293516466195665,-0.6183593991341705,0.6475231850237235,1.0146887273969278,0.011685952670433375,0.518007817148261
Harry Maguire,25,2,1.8776482632868559,0.12235173671314414,0.011708085878209097,0.30922870725342644,-0.5943690433243864,0.6177852150808048,1.0117768937897793,0.019525326599103776,0.5151012329338096
Hakim Ziyech,19,1,0.8902425075601477,0.10975749243985233,0.011411043774444353,0.3223678618015538,-0.6204183551297865,0.6432404426786752,1.0114763980848551,0.009539858303420412,0.5141186447827409
Toni Kroos,23,1,0.8968290628624181,0.10317093713758185,0.01070061324441192,0.32198205274655195,-0.6203726138071058,0.6417738402959298,1.0107580695627172,0.009192667983483616,0.5132558362370123
Steven Zuber,12,1,0.941265785118475,0.05873421488152497,0.006118899313353282,0.3227368745249219,-0.6264337512385161,0.6386715498652227,1.0061376580191166,0.0049949054174206475,0.5075632553978068
João Félix Sequeira,18,1,0.9490381054693848,0.05096189453061517,0.005280198477958674,0.3218541565423375,-0.6255423566195395,0.6361027535754569,1.0052941632941235,0.004588485604000603,0.5065445789391803
John Stones,16,2,1.998777358534864,0.001222641465135954,0.0001200185556768117,0.3133095650122946,-0.6139554448803313,0.6141954819916848,1.0001200257581917,0.00016857700441264,0.5001528216194718
Olivier Giroud,36,4,4.011021165528365,-0.01102116552836474,-0.0009097393035305479,0.2873182775508156,-0.5640432154032123,0.5622237367961512,0.9990906743838109,-0.0030313687592951055,0.4987368263899448
Hirving Rodrigo Lozano Bahena,18,1,1.0161351119826976,-0.01613511198269757,-0.0016626889825486957,0.3210211739259149,-0.6308526281521106,0.6275272501870132,0.9983386925190024,-0.0015325252755182817,0.49793373763943755
Marco Asensio Willemsen,13,1,1.0189360962226655,-0.018936096222665455,-0.0019563796837960496,0.3214374837674969,-0.6319622711492683,0.6280495117816762,0.9980455327795661,-0.0017541672722467538,0.4975719143124954
Tomáš Souček,13,1,1.0380006504859294,-0.03800065048592938,-0.00391677070436298,0.32107028117687664,-0.6332029583171896,0.6253694169084636,0.9960908898372204,-0.003601562969918204,0.49513338115449246
Romelu Lukaku Menama,42,7,7.1419227578181665,-0.14192275781816655,-0.010110684743955344,0.26704217967621036,-0.5335037392624017,0.5132823697744909,0.9899402564011988,-0.053125543070134285,0.4848989543801243
Daniel Olmo Carvajal,51,4,4.125569296244562,-0.1255692962445618,-0.010183794524175265,0.2849370996780716,-0.5686502477524951,0.5482826587041445,0.989867884732193,-0.036129993940764216,0.48574463826050807
Robert Lewandowski,35,4,4.127642938878087,-0.1276429388780871,-0.010756898763848359,0.2904116752902571,-0.579953323022693,0.5584395254949963,0.9893007497799824,-0.03317034144819253,0.4852264870451543
Dan Ndoye,14,1,1.1120634852266589,-0.11206348522665888,-0.011491403487162082,0.3202940969092933,-0.6392562978901587,0.6162734909158346,0.9885743705036526,-0.011140090911960998,0.4856899535984738
Jesse Lingard,16,1,1.1890030688085793,-0.1890030688085793,-0.019220280491344378,0.31902249053245074,-0.6444928721932183,0.6060523112105295,0.9809632513741723,-0.020200715898935684,0.4759792911446569
Adrien Rabiot,15,1,1.2552073183561072,-0.2552073183561072,-0.02587726981150024,0.31859853755223255,-0.6503189289410081,0.5985643893180075,0.9744546772763173,-0.027939873792741654,0.4676326277957458
Serge Gnabry,16,1,1.2956575247062814,-0.29565752470628137,-0.029840023510361986,0.31789809880110037,-0.6529088479142744,0.5932288008935505,0.970600794437065,-0.033587146404748136,0.46260755071735554
Christian Dannemann Eriksen,29,2,2.3337129548866202,-0.33371295488662023,-0.031054540536026062,0.3053713198429588,-0.6295713293396868,0.5674622482676347,0.969422698800515,-0.060976065673695956,0.4594996400198178
Marcel Sabitzer,23,1,1.3666339871083826,-0.3666339871083826,-0.03669239935373905,0.3166365727625827,-0.6572886781565974,0.5839038794491194,0.9639726083463782,-0.04438253257832292,0.45387313083264036
Kieffer Roberto Francisco Moore,12,1,1.3645860288539182,-0.3645860288539182,-0.036900207368032754,0.31835100287394524,-0.6608567074431727,0.5870562927071071,0.9637723079255414,-0.04050949784893154,0.4538617575985941
Ivan Rakitić,15,1,1.425756758090203,-0.4257567580902031,-0.04384804140189862,0.32110087534648796,-0.6731941924853003,0.5854981096815032,0.9570993859041422,-0.040660788109264656,0.4456911369119973
Lamine Yamal Nasraoui Ebana,18,1,1.471732148120941,-0.4717321481209411,-0.047068613657728756,0.3162152889650645,-0.6668391913901812,0.5727019640747237,0.9540219364100208,-0.058351462173216184,0.4408360379475646
Piotr Zieliński,22,1,1.530715460754496,-0.5307154607544959,-0.05293570542069449,0.31619639553663836,-0.6726692527138872,0.5667978418724983,0.9484409901364678,-0.06580696829159471,0.43352215255194637
Ante Rebić,20,1,1.5452360072822764,-0.5452360072822764,-0.05398431150062666,0.3150784769076687,-0.6715267785433925,0.5635581555421392,0.9474469704064034,-0.07111811885620867,0.4319797556127169
Pierre-Emile Højbjerg,16,0,0.5382771755920253,-0.5382771755920253,-0.05803446053695597,0.3285744313688221,-0.7020285122605749,0.5859595911866631,0.9436174293132106,-0.028588802787491208,0.4299014759177209
İlkay Gündoğan,14,1,1.6531610099402079,-0.6531610099402079,-0.06479030145924801,0.315370848385058,-0.6829058060678036,0.5533252031493076,0.9372639856615578,-0.08413938005445032,0.41861354852181637
Michy Batshuayi Tunga,14,2,2.6836660999350404,-0.6836660999350404,-0.06542216878991078,0.3097130260800055,-0.6724485454496361,0.5416042078698144,0.9366719462336959,-0.10909508734435214,0.4163520288582017
Juraj Kucka,13,0,0.6671497744235542,-0.6671497744235542,-0.07107630143864269,0.3267235750015762,-0.7114427413419033,0.5692901384646178,0.9313908229565564,-0.042921271392025506,0.4138927494001108
Phil Foden,13,0,0.6790852755887167,-0.6790852755887167,-0.07233073314973631,0.32668361432242365,-0.7126188515610601,0.5679573852615873,0.9302231892842864,-0.043839710423654976,0.4123869440649789
Antonio Rüdiger,12,0,0.7619495006198964,-0.7619495006198964,-0.08085790417543308,0.32609701617997716,-0.7199963113541635,0.5582805030032975,0.9223247406281547,-0.051813949668790715,0.4020839970750442
Eden Hazard,23,2,2.8711360593947854,-0.8711360593947854,-0.08093805408890176,0.30542851703326657,-0.6795669473255826,0.5176908391477791,0.9222508193424352,-0.16029659082993364,0.39550536514880974
Kai Havertz,33,4,5.146735372595973,-1.1467353725959732,-0.09251425727968941,0.2850452390017243,-0.651192659687681,0.4661641451283022,0.9116362134193374,-0.3342277552626829,0.372757086318796
Cristiano Ronaldo dos Santos Aveiro,64,5,6.241119742354266,-1.2411197423542664,-0.09251567037134492,0.2743443033095699,-0.6302206242218347,0.4451892834791449,0.9116349251947216,-0.4285997145259044,0.3679737662768398
Joshua Kimmich,18,0,0.9539361920803956,-0.9539361920803956,-0.09919683218826575,0.3230438026710713,-0.7323510508524296,0.5339573864758982,0.9055644462487256,-0.0827387773442726,0.37939531485974354
Martin Braithwaite Christensen,21,1,2.069606506557579,-1.0696065065575788,-0.10239783758680299,0.3102926813971145,-0.7105603177915091,0.5057646426179031,0.9026703640251393,-0.17029622202265693,0.37069845578868776
Marcelo Brozović,12,0,1.0016986647762796,-1.0016986647762796,-0.10500187710853323,0.32419266034843136,-0.7404078154436852,0.5304040612266187,0.9003228325810078,-0.07951837069411294,0.3730116893794657
Roland Sallai,16,0,1.106318664514189,-1.106318664514189,-0.1136407705319698,0.3212221080572523,-0.7432245333622178,0.5159429922982783,0.8925785388112156,-0.108267181295711,0.3617532661529913
Marcus Thuram,13,0,1.1200164880721117,-1.1200164880721117,-0.1151690641216219,0.32136277512815997,-0.7450285293446597,0.514690401101416,0.8912154586107658,-0.10854274735920355,0.36003055783806986
Ousmane Dembélé,20,0,1.1336294975517367,-1.1336294975517367,-0.11606740735133873,0.3207538719978902,-0.744733444368974,0.5125986296662967,0.8904152007442407,-0.11426604623002956,0.35872901213240926
Domenico Berardi,14,0,1.1871977117596288,-1.1871977117596288,-0.12188119354494785,0.32109757203720435,-0.7512208702611239,0.5074584831712282,0.8852535360896545,-0.11677461074983442,0.35212978713231136
Yannick Ferreira Carrasco,17,0,1.2491831434526661,-1.2491831434526661,-0.12667210622185163,0.3193489117704321,-0.7525844717939579,0.4992402593502546,0.8810225070395278,-0.1366837921607702,0.34581006241677187
Mateo Kovačić,17,0,1.3468842113757697,-1.3468842113757697,-0.13662571497747064,0.319341235194695,-0.7625230347376076,0.4892716047826663,0.8722966526123027,-0.14696716716065272,0.33438521888490397
Ismaïla Sarr,12,0,1.373481528780875,-1.373481528780875,-0.14110761809736874,0.3211599289083549,-0.7705695120351884,0.488354275840451,0.8683958515594492,-0.1342021145684742,0.3301972038120611
Antoine Griezmann,44,2,3.695513082648048,-1.695513082648048,-0.14560235286216186,0.2948463353274209,-0.7234905510775266,0.4322858453532029,0.8645014013527225,-0.41675860435718537,0.31071505394794907
Memphis Depay,39,3,4.792233194563459,-1.792233194563459,-0.14564592241300672,0.286883690529142,-0.7079276236020595,0.41663577877604613,0.8644637362354928,-0.5130960661493997,0.30583789760335134
Aleksandar Mitrović,36,3,5.028184424352875,-2.028184424352875,-0.16404775399802185,0.2864394497026173,-0.7254587591666241,0.39736325117058036,0.8487014920231118,-0.5874329807472982,0.28341933081839854
Thomas Müller,14,0,1.661092465565741,-1.661092465565741,-0.16503990545553512,0.31631130703622523,-0.7849986751493276,0.45491886423825734,0.8478598691785121,-0.21162743942184425,0.30091727097710486
Gerard Moreno Balaguero,15,0,1.706007601156503,-1.706007601156503,-0.16921218253647674,0.3160545379412434,-0.7886676940517618,0.45024332897880837,0.8443297323539909,-0.21989949956055455,0.29619038236604367
Gabriel Fernando de Jesus,12,0,1.8734616191330222,-1.8734616191330222,-0.18476202508069983,0.31518662487400306,-0.8025164582424822,0.4329924080810825,0.8313020893624471,-0.2507868316335353,0.2788709599513675
Neymar da Silva Santos Junior,38,3,5.504411500404453,-2.504411500404453,-0.21057994753019027,0.2918401950602053,-0.7825762190893368,0.3614163240289563,0.8101142859279806,-0.6549904872879502,0.23528279738158703
Lautaro Javier Martínez,14,0,2.2826754070663458,-2.2826754070663458,-0.21945477152175769,0.3115863735072119,-0.8301528416693382,0.3912432986258229,0.8029564733711585,-0.3553111416591084,0.24061849846963873
Marcus Berg,17,0,2.873390174625672,-2.873390174625672,-0.2692401036426714,0.3079890274041291,-0.8728875049882843,0.33440729770294136,0.7639598040935696,-0.5087856095161016,0.19100812406305467
