player,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Aleksandr Golovin,8,0.6602478718064687,1,0.3397521281935313,0.08253098397580859,0.125
Dries Mertens,10,0.6597080655168737,1,0.34029193448312633,0.06597080655168737,0.1
Naïm Sliti,7,0.6585956385477318,0,-0.6585956385477318,0.09408509122110455,0.0
Kléper Laveran Lima Ferreira,8,0.6572990299482506,2,1.3427009700517494,0.08216237874353133,0.25
Román Aureliano Torres Morcillo,4,0.6537514469568265,0,-0.6537514469568265,0.16343786173920663,0.0
Ahmed Musa,4,0.6528470117149806,2,1.3471529882850195,0.16321175292874515,0.5
Gabriel Teodoro Martinelli Silva,4,0.6506132211383026,0,-0.6506132211383026,0.16265330528457564,0.0
Julian Draxler,6,0.6503895460844289,0,-0.6503895460844289,0.10839825768073814,0.0
Matteo Pessina,4,0.6482333908797056,2,1.3517666091202944,0.1620583477199264,0.5
Youssef Msakni,9,0.6480964632835471,0,-0.6480964632835471,0.07201071814261634,0.0
John McGinn,7,0.6444843205077075,0,-0.6444843205077075,0.09206918864395822,0.0
Francisco Fernandes Conceição,5,0.6426861002126013,1,0.3573138997873987,0.12853722004252027,0.2
Lukáš Haraslín,11,0.6358495242108796,0,-0.6358495242108796,0.05780450220098905,0.0
Georges Mikautadze,4,0.6342881293871144,1,0.36571187061288557,0.1585720323467786,0.25
Mert Müldür,7,0.6319859813285598,1,0.36801401867144024,0.09028371161836568,0.14285714285714285
Willi Orban,3,0.6293949898343834,0,-0.6293949898343834,0.20979832994479444,0.0
Michael Krmenčík,4,0.6284794593256079,0,-0.6284794593256079,0.15711986483140197,0.0
Raphaël Varane,9,0.6278376045766615,1,0.3721623954233385,0.06975973384185127,0.1111111111111111
Jonas Hofmann,1,0.6257759784075573,0,-0.6257759784075573,0.6257759784075573,0.0
Theo Bernard François Hernández,9,0.6256645303536679,1,0.37433546964633213,0.06951828115040753,0.1111111111111111
Romain Saïss,2,0.6203420253493869,1,0.37965797465061313,0.31017101267469344,0.5
Rafael Alexandre Conceição Leão,8,0.6177330302508319,2,1.382266969749168,0.07721662878135399,0.25
Issam Jebali,3,0.6162864437607778,0,-0.6162864437607778,0.20542881458692594,0.0
Pau Francisco Torres,3,0.6130817838875868,0,-0.6130817838875868,0.20436059462919562,0.0
Marcos Llorente Moreno,5,0.6077248259702727,0,-0.6077248259702727,0.12154496519405453,0.0
Alexis Mac Allister,7,0.6071386684179534,1,0.3928613315820466,0.08673409548827905,0.14285714285714285
Renato Soares de Oliveira Augusto,3,0.6042843764632048,1,0.39571562353679524,0.20142812548773492,0.3333333333333333
Kamil Grosicki,6,0.6021897145204671,0,-0.6021897145204671,0.10036495242007785,0.0
Marko Livaja,6,0.6018367961769093,1,0.3981632038230907,0.10030613269615156,0.16666666666666666
Bamidele Alli,6,0.6001709997599997,1,0.39982900024000034,0.10002849995999995,0.16666666666666666
Leonardo Bonucci,5,0.5959666590957615,1,0.4040333409042385,0.1191933318191523,0.2
Karol Świderski,7,0.5925828844299533,0,-0.5925828844299533,0.08465469777570762,0.0
Raphaël Adelino José Guerreiro,10,0.5923322295995649,2,1.407667770400435,0.05923322295995649,0.2
Scott McTominay,7,0.5887956647610798,1,0.4112043352389202,0.08411366639443997,0.14285714285714285
Jakub Moder,4,0.5851312221166998,0,-0.5851312221166998,0.14628280552917494,0.0
Kwadwo Duah,4,0.5816208920943036,1,0.41837910790569643,0.1454052230235759,0.25
Takashi Inui,9,0.5789533627575402,2,1.4210466372424597,0.06432815141750446,0.2222222222222222
Alessandro Bastoni,3,0.5785813775274689,1,0.42141862247253115,0.19286045917582295,0.3333333333333333
Denis Mihai Drăguş,5,0.578165645541661,1,0.42183435445833894,0.1156331291083322,0.2
Manuel Locatelli,5,0.5779399748576074,2,1.4220600251423927,0.11558799497152147,0.4
Amadou Onana,5,0.5772320843166348,0,-0.5772320843166348,0.11544641686332695,0.0
Simon Thorup Kjær,2,0.5762116044874666,0,-0.5762116044874666,0.2881058022437333,0.0
Eric Dier,5,0.5725712008359013,0,-0.5725712008359013,0.11451424016718026,0.0
Maximiliano Eduardo Meza,3,0.5707176261181032,0,-0.5707176261181032,0.1902392087060344,0.0
