player,shots,freq_goals_minus_xg,p_value,significant,u_hat,u_se,odds_multiplier,shrunk_goals_minus_xg,prob_better_than_xg
Marco Asensio Willemsen,13,-0.018936096222665455,0.9840511684075497,False,-0.0019563796837960496,0.3214374837674969,0.9980455327795661,-0.0017541672722467538,0.4975719143124954
Tomáš Souček,13,-0.03800065048592938,0.9684133679590574,False,-0.00391677070436298,0.32107028117687664,0.9960908898372204,-0.003601562969918204,0.49513338115449246
Romelu Lukaku Menama,42,-0.14192275781816655,0.9506963506919011,False,-0.010110684743955344,0.26704217967621036,0.9899402564011988,-0.053125543070134285,0.4848989543801243
Daniel Olmo Carvajal,51,-0.1255692962445618,0.9469476382064532,False,-0.010183794524175265,0.2849370996780716,0.989867884732193,-0.036129993940764216,0.48574463826050807
Robert Lewandowski,35,-0.1276429388780871,0.9421404501990411,False,-0.010756898763848359,0.2904116752902571,0.9893007497799824,-0.03317034144819253,0.4852264870451543
Dan Ndoye,14,-0.11206348522665888,0.9095801554741179,False,-0.011491403487162082,0.3202940969092933,0.9885743705036526,-0.011140090911960998,0.4856899535984738
Jesse Lingard,16,-0.1890030688085793,0.8542781532636963,False,-0.019220280491344378,0.31902249053245074,0.9809632513741723,-0.020200715898935684,0.4759792911446569
Adrien Rabiot,15,-0.2552073183561072,0.8069079416446616,False,-0.02587726981150024,0.31859853755223255,0.9744546772763173,-0.027939873792741654,0.4676326277957458
Serge Gnabry,16,-0.29565752470628137,0.7817138806051487,False,-0.029840023510361986,0.31789809880110037,0.970600794437065,-0.033587146404748136,0.46260755071735554
Christian Dannemann Eriksen,29,-0.33371295488662023,0.8128107383747467,False,-0.031054540536026062,0.3053713198429588,0.969422698800515,-0.060976065673695956,0.4594996400198178
Marcel Sabitzer,23,-0.3666339871083826,0.7407181005080474,False,-0.03669239935373905,0.3166365727625827,0.9639726083463782,-0.04438253257832292,0.45387313083264036
Kieffer Roberto Francisco Moore,12,-0.3645860288539182,0.7294378455315191,False,-0.036900207368032754,0.31835100287394524,0.9637723079255414,-0.04050949784893154,0.4538617575985941
Ivan Rakitić,15,-0.4257567580902031,0.6603004296250192,False,-0.04384804140189862,0.32110087534648796,0.9570993859041422,-0.040660788109264656,0.4456911369119973
Lamine Yamal Nasraoui Ebana,18,-0.4717321481209411,0.6744605544038607,False,-0.047068613657728756,0.3162152889650645,0.9540219364100208,-0.058351462173216184,0.4408360379475646
Piotr Zieliński,22,-0.5307154607544959,0.6372985595197482,False,-0.05293570542069449,0.31619639553663836,0.9484409901364678,-0.06580696829159471,0.43352215255194637
Ante Rebić,20,-0.5452360072822764,0.6381889442200972,False,-0.05398431150062666,0.3150784769076687,0.9474469704064034,-0.07111811885620867,0.4319797556127169
Pierre-Emile Højbjerg,16,-0.5382771755920253,0.4489287653647822,False,-0.05803446053695597,0.3285744313688221,0.9436174293132106,-0.028588802787491208,0.4299014759177209
İlkay Gündoğan,14,-0.6531610099402079,0.5704994507903236,False,-0.06479030145924801,0.315370848385058,0.9372639856615578,-0.08413938005445032,0.41861354852181637
Michy Batshuayi Tunga,14,-0.6836660999350404,0.5992353040854124,False,-0.06542216878991078,0.3097130260800055,0.9366719462336959,-0.10909508734435214,0.4163520288582017
Juraj Kucka,13,-0.6671497744235542,0.39788718384463984,False,-0.07107630143864269,0.3267235750015762,0.9313908229565564,-0.042921271392025506,0.4138927494001108
Phil Foden,13,-0.6790852755887167,0.3903153504750767,False,-0.07233073314973631,0.32668361432242365,0.9302231892842864,-0.043839710423654976,0.4123869440649789
Antonio Rüdiger,12,-0.7619495006198964,0.3484913878204199,False,-0.08085790417543308,0.32609701617997716,0.9223247406281547,-0.051813949668790715,0.4020839970750442
Eden Hazard,23,-0.8711360593947854,0.540338176686415,False,-0.08093805408890176,0.30542851703326657,0.9222508193424352,-0.16029659082993364,0.39550536514880974
Kai Havertz,33,-1.1467353725959732,0.5511057911906878,False,-0.09251425727968941,0.2850452390017243,0.9116362134193374,-0.3342277552626829,0.372757086318796
Cristiano Ronaldo dos Santos Aveiro,64,-1.2411197423542664,0.5695585258541971,False,-0.09251567037134492,0.2743443033095699,0.9116349251947216,-0.4285997145259044,0.3679737662768398
Joshua Kimmich,18,-0.9539361920803956,0.30615514903798546,False,-0.09919683218826575,0.3230438026710713,0.9055644462487256,-0.0827387773442726,0.37939531485974354
Martin Braithwaite Christensen,21,-1.0696065065575788,0.4152010413296603,False,-0.10239783758680299,0.3102926813971145,0.9026703640251393,-0.17029622202265693,0.37069845578868776
Marcelo Brozović,12,-1.0016986647762796,0.25755949465500927,False,-0.10500187710853323,0.32419266034843136,0.9003228325810078,-0.07951837069411294,0.3730116893794657
Roland Sallai,16,-1.106318664514189,0.26800147273274444,False,-0.1136407705319698,0.3212221080572523,0.8925785388112156,-0.108267181295711,0.3617532661529913
Marcus Thuram,13,-1.1200164880721117,0.25920026737169044,False,-0.1151690641216219,0.32136277512815997,0.8912154586107658,-0.10854274735920355,0.36003055783806986
Ousmane Dembélé,20,-1.1336294975517367,0.26468018410779837,False,-0.11606740735133873,0.3207538719978902,0.8904152007442407,-0.11426604623002956,0.35872901213240926
Domenico Berardi,14,-1.1871977117596288,0.23527115576911006,False,-0.12188119354494785,0.32109757203720435,0.8852535360896545,-0.11677461074983442,0.35212978713231136
Yannick Ferreira Carrasco,17,-1.2491831434526661,0.24132580585829788,False,-0.12667210622185163,0.3193489117704321,0.8810225070395278,-0.1366837921607702,0.34581006241677187
Mateo Kovačić,17,-1.3468842113757697,0.20495678873379686,False,-0.13662571497747064,0.319341235194695,0.8722966526123027,-0.14696716716065272,0.33438521888490397
Ismaïla Sarr,12,-1.373481528780875,0.16748996681055583,False,-0.14110761809736874,0.3211599289083549,0.8683958515594492,-0.1342021145684742,0.3301972038120611
Antoine Griezmann,44,-1.695513082648048,0.3282129707477428,False,-0.14560235286216186,0.2948463353274209,0.8645014013527225,-0.41675860435718537,0.31071505394794907
Memphis Depay,39,-1.792233194563459,0.35017091671699596,False,-0.14564592241300672,0.286883690529142,0.8644637362354928,-0.5130960661493997,0.30583789760335134
Aleksandar Mitrović,36,-2.028184424352875,0.2955351311671408,False,-0.16404775399802185,0.2864394497026173,0.8487014920231118,-0.5874329807472982,0.28341933081839854
Thomas Müller,14,-1.661092465565741,0.1533663306606463,False,-0.16503990545553512,0.31631130703622523,0.8478598691785121,-0.21162743942184425,0.30091727097710486
Gerard Moreno Balaguero,15,-1.706007601156503,0.14523756744366545,False,-0.16921218253647674,0.3160545379412434,0.8443297323539909,-0.21989949956055455,0.29619038236604367
Gabriel Fernando de Jesus,12,-1.8734616191330222,0.11742332880200768,False,-0.18476202508069983,0.31518662487400306,0.8313020893624471,-0.2507868316335353,0.2788709599513675
Neymar da Silva Santos Junior,38,-2.504411500404453,0.1658254859777557,False,-0.21057994753019027,0.2918401950602053,0.8101142859279806,-0.6549904872879502,0.23528279738158703
Lautaro Javier Martínez,14,-2.2826754070663458,0.08188915244847017,False,-0.21945477152175769,0.3115863735072119,0.8029564733711585,-0.3553111416591084,0.24061849846963873
Marcus Berg,17,-2.873390174625672,0.043225944420083984,True,-0.2692401036426714,0.3079890274041291,0.7639598040935696,-0.5087856095161016,0.19100812406305467
