player,shots,goals,xg_total,raw_conversion,expected_conversion,conv_mean,conv_hdi_low,conv_hdi_high,skill_mean,skill_hdi_low,skill_hdi_high,shrinkage,goals_minus_xg_raw,goals_minus_xg_shrunk
Wahbi Khazri,17,3,1.8865776447196636,0.17647058823529413,0.11097515557174492,0.1206497865360364,0.0789366433426919,0.1697010425405939,0.0945276108821742,-0.3760644483156699,0.4930713190361429,0.8522854102821158,1.1134223552803364,0.16446872639295518
Bruno Miguel Borges Fernandes,24,2,1.6153513660738597,0.08333333333333333,0.06730630691974415,0.07347906691261157,0.04180632930173077,0.11310210171425374,0.09438682047781288,-0.5031792743198276,0.5693839970267107,0.6148530717068275,0.38464863392614035,0.1481462398288178
João Félix Sequeira,18,1,0.9490381054693848,0.05555555555555555,0.0527243391927436,0.0575359045274266,0.02954245142047645,0.09401518893021567,0.09242430201788387,-0.6034264535824572,0.6229467586328505,-0.6994693156916396,0.05096189453061517,0.08660817602429405
Ciro Immobile,18,2,1.4771329703056695,0.1111111111111111,0.08206294279475941,0.08897735887710297,0.053409847964096285,0.13244646157674608,0.08845646799613371,-0.46022879087800783,0.5351435497825294,0.7619672260556506,0.5228670296943305,0.124459489482184
Jamal Musiala,21,3,2.157835750002243,0.14285714285714285,0.10275408333344013,0.11095752601578553,0.07133265441882561,0.15795542020020623,0.08599385396098258,-0.39940500190334527,0.49347127062860063,0.7954409768287931,0.8421642499977571,0.17227229632925312
Hirving Rodrigo Lozano Bahena,18,1,1.0161351119826976,0.05555555555555555,0.05645195066570542,0.06088413164407887,0.03198078992558334,0.09821224483396791,0.0802911541193212,-0.5938590799160299,0.5990091572857486,-3.9444501963340954,-0.01613511198269757,0.07977925761072213
Philippe Coutinho Correia,23,2,1.7039258963130617,0.08695652173913043,0.07408373462230702,0.07978030302814482,0.046592168592990583,0.12084317320620473,0.08025200414035849,-0.4930224838967572,0.5411181209248406,0.5574720257439072,0.2960741036869383,0.13102107333426916
Marcus Rashford,16,3,2.0010252824444628,0.1875,0.12506408015277892,0.13405518883224107,0.09000536156205524,0.1852223571920537,0.07975479607675284,-0.3682450641528996,0.46396619104702763,0.8559946149353908,0.9989747175555372,0.1438577388713944
Breel-Donald Embolo,29,5,3.8144703445547474,0.1724137931034483,0.13153346015706024,0.14079796380787934,0.09699553720687328,0.19115036533372878,0.07878967785507895,-0.3435947368723906,0.44491512672566214,0.7733750441081557,1.1855296554452526,0.26867060587375313
Mario Mandžukić,12,3,1.7793901472228284,0.25,0.14828251226856903,0.158382037464903,0.11020644526008545,0.21334406559076868,0.07781945183483518,-0.3404985291109066,0.44325079111824417,0.9007100409026992,1.2206098527771716,0.12119430235600781
Mikel Oyarzabal Ugarte,15,2,1.481206209261591,0.13333333333333333,0.09874708061743939,0.10557520451518046,0.066417108594485,0.15243824733289824,0.07446680079619306,-0.4318509846771339,0.4956199652897062,0.8025769384781244,0.518793790738409,0.10242185846611584
Harry Maguire,25,2,1.8776482632868559,0.08,0.07510593053147424,0.0798828324502021,0.04681340911113308,0.1207480085799947,0.06683963611546107,-0.5028613089564504,0.5254139513935498,0.02394072061122532,0.12235173671314414,0.11942254796819651
Luis Alberto Suárez Díaz,16,2,1.602233481584217,0.125,0.10013959259901356,0.1062960725432407,0.06709048826429212,0.15315326116324038,0.06652830459998649,-0.43659142066763845,0.48559390439965444,0.7523580428540021,0.39776651841578303,0.09850367910763413
Steven Zuber,12,1,0.941265785118475,0.08333333333333333,0.07843881542653959,0.08317276089401945,0.04839834114334293,0.12620939245560864,0.06375111659344634,-0.5149307103611958,0.5288518770755446,0.032806589407098796,0.05873421488152497,0.05680734560975842
Pierre-Emile Højbjerg,16,0,0.5382771755920253,0.0,0.03364232347450158,0.03567019522011618,0.014462744507583558,0.06583506081598003,0.060631244777937354,-0.8638618011176105,0.7052486482320233,0.9397226012896649,-0.5382771755920253,0.032445947929833574
Marco Asensio Willemsen,13,1,1.0189360962226655,0.07692307692307693,0.0783796997094358,0.08268397208519142,0.04809798846914499,0.12549858024586852,0.05814208541388366,-0.5206533885866,0.5232088831387471,-1.9549670759408024,-0.018936096222665455,0.05595554088482291
Tomáš Souček,13,1,1.0380006504859294,0.07692307692307693,0.07984620388353303,0.08403561154536095,0.04914697581143564,0.1271268476769868,0.055701662113428974,-0.5181056941541322,0.5178336370300838,-0.43319387713978585,-0.03800065048592938,0.05446229960376292
Andriy Yarmolenko,14,2,1.6900830925585333,0.14285714285714285,0.12072022089703809,0.12627050453433802,0.08330089733409689,0.1765829774459058,0.051283136374881355,-0.41269246941194426,0.44595560570351944,0.7492748247790421,0.3099169074414667,0.07770397092219916
Dan Ndoye,14,1,1.1120634852266589,0.07142857142857142,0.07943310608761849,0.08322031816111958,0.048591984268015656,0.12602440725264508,0.05069877772355946,-0.5244099898975954,0.513497581914486,0.5268666780996911,-0.11206348522665888,0.05302096902901532
Niclas Füllkrug,17,4,3.1597889213309887,0.23529411764705882,0.18586993654888168,0.19338097380667693,0.14124880289407096,0.2514511529548024,0.04888370355921445,-0.32788336953949293,0.38618525929009273,0.8480291005150862,0.8402110786690113,0.1276876333825192
Jesse Lingard,16,1,1.1890030688085793,0.0625,0.0743126918005362,0.07771805320624649,0.04449388373609231,0.1191383190893265,0.04849134148922429,-0.5446346871382493,0.5216392942031511,0.7117201173778442,-0.1890030688085793,0.05448578249136449
Raheem Sterling,26,4,3.593855923385256,0.15384615384615385,0.13822522782250984,0.1437491739246681,0.09921228244762881,0.19487773281959603,0.045616089637203316,-0.37589828970309247,0.41148771106980675,0.6463752472934607,0.40614407661474416,0.1436225986561146
